,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,21329671,28,,right,saccade,1.0,3.0,,,604.7919999999998,177.016,474.495,173.761,,,
11,21329675,24,,left,saccade,1.0,,,,609.773,164.855,485.189,164.62900000000005,,,
12,21329703,912,2.956504254366324,right,fixation,1.0,4.0,471.7040611353711,180.842550218341,,,,,4.0,7.1176596701949215,28.610680041088468
13,21329703,916,2.956504254366324,left,fixation,1.0,,471.912691304347,176.67488260869598,,,,,3.0,8.286098974224277,39.11985134478076
14,21330619,64,,right,saccade,2.0,4.0,,,521.1659999999998,183.565,631.385,143.374,,,
15,21330623,52,,left,saccade,2.0,,,,523.807,170.957,604.178,131.776,,,
16,21330743,703,2.9759421201635736,left,fixation,2.0,,635.520231638418,171.746220338983,,,,,0.0,,
17,21330763,683,2.975942120163573,right,fixation,2.0,5.0,623.104505813953,192.247261627907,,,,,1.0,7.287935382458392,21.75663218423292
18,21331450,24,,left,saccade,3.0,,,,631.2769999999998,161.125,460.16900000000004,168.662,,,
19,21331450,28,,right,saccade,3.0,5.0,,,623.4159999999998,184.858,466.7,193.50099999999998,,,
20,21331478,1448,2.984323204419889,left,fixation,3.0,,514.638181818181,188.30707438016498,,,,,2.0,6.5376016292604255,35.062979660163265
21,21331482,504,2.989428571428572,right,fixation,3.0,6.0,442.84088976377996,186.27212598425203,,,,,2.0,5.892514112242075,13.733301372682302
22,21331990,4,,right,saccade,4.0,6.0,,,458.774,147.778,461.639,149.194,,,
23,21331998,928,2.9812564655172413,right,fixation,4.0,7.0,525.580141630901,188.89232188841203,,,,,5.0,4.8418293625534465,25.122983940151137
24,21332930,20,,left,saccade,4.0,,,,526.5219999999998,189.03400000000002,660.8,185.498,,,
25,21332930,24,,right,saccade,5.0,7.0,,,530.589,171.41400000000004,661.37,191.61900000000003,,,
26,21332954,592,2.9901756756756765,left,fixation,4.0,,670.8440671140943,188.69677181208093,,,,,1.0,4.339665351281265,22.83287564018157
27,21332958,584,2.9899726027397264,right,fixation,5.0,8.0,649.499476190476,192.009530612245,,,,,2.0,6.711929974516193,20.22868474940161
28,21333546,20,,right,saccade,6.0,8.0,,,641.876,192.203,729.737,186.632,,,
29,21333550,20,,left,saccade,5.0,,,,676.68,196.39,748.148,182.71200000000002,,,
30,21333570,497,2.9929240000000004,right,fixation,6.0,9.0,743.399007999999,177.329904,,,,,1.0,6.477501867575526,12.342266120935813
31,21333574,501,2.9929126984126984,left,fixation,5.0,,772.2540952380949,182.520928571428,,,,,1.0,5.587593054159275,10.928676589596767
32,21334071,20,,right,saccade,7.0,9.0,,,739.4760000000001,163.425,797.9739999999997,173.2,,,
33,21334079,8,,left,saccade,6.0,,,,791.668,168.292,820.8639999999997,167.93,,,
34,21334091,539,2.9951343283582093,left,fixation,6.0,,853.978124999999,153.800970588235,,,,,0.0,,
35,21334095,535,2.995127819548872,right,fixation,7.0,10.0,827.8263259259261,199.60547407407398,,,,,1.0,5.110656298906762,10.75506378409723
36,21334634,16,,right,saccade,8.0,10.0,,,836.206,188.403,748.4119999999997,193.122,,,
37,21334634,20,,left,saccade,7.0,,,,863.31,157.795,760.818,178.674,,,
38,21334654,172,3.0447906976744186,right,fixation,8.0,11.0,731.8131590909088,183.67475,,,,,0.0,,
39,21334658,168,3.0453214285714285,left,fixation,7.0,,753.053395348837,189.940418604651,,,,,0.0,,
40,21334830,20,,left,saccade,8.0,,,,743.3660000000001,182.975,619.298,198.515,,,
41,21334830,20,,right,saccade,9.0,11.0,,,723.658,187.28799999999998,596.806,194.898,,,
42,21334854,1044,3.0571494252873563,right,fixation,9.0,12.0,619.909484732825,190.741851145038,,,,,2.0,7.065994576165736,37.047052634595424
43,21334854,1048,3.057150763358779,left,fixation,8.0,,636.989376425856,173.592577946768,,,,,6.0,5.8717168318072925,21.034733679502093
44,21335902,56,,right,saccade,10.0,12.0,,,645.491,182.65900000000002,1340.664,196.325,,,
45,21335906,56,,left,saccade,9.0,,,,674.2769999999998,178.892,1365.944,179.958,,,
46,21335962,920,3.0464536637931037,right,fixation,10.0,13.0,1404.0266363636401,154.24624242424298,,,,,2.0,5.401723769247818,32.101852320255205
47,21335966,916,3.046420995670996,left,fixation,9.0,,1410.77900434783,140.352260869565,,,,,2.0,5.085432707956003,18.43627706811752
