,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
10,19958852,20,,left,saccade,1.0,,,,491.93699999999995,138.22,485.18300000000005,222.945,,,
11,19958852,20,,right,saccade,1.0,3.0,,,501.838,170.05,488.79900000000004,238.636,,,
12,19958876,132,4.128666666666667,left,fixation,1.0,,464.471852941176,231.51488235294102,,,,,1.0,2.973249274783404,8.954804576315418
13,19958876,136,4.128529411764705,right,fixation,1.0,4.0,479.22591428571405,255.1394,,,,,1.0,5.2506122076911605,10.236024716656342
14,19959012,24,,left,saccade,2.0,,,,458.63599999999997,228.517,391.41900000000004,123.37899999999999,,,
15,19959016,20,,right,saccade,2.0,4.0,,,465.005,253.22400000000002,436.32199999999995,167.608,,,
17,19959040,1024,4.1223035019455265,right,fixation,2.0,5.0,442.48031517509696,145.30885992217898,,,,,7.0,4.383260243294344,22.80590627818205
18,19960068,28,,left,saccade,3.0,,,,489.135,117.852,708.612,201.702,,,
19,19960068,28,,right,saccade,3.0,5.0,,,513.634,162.215,720.947,211.58599999999998,,,
20,19960100,108,4.098537037037037,left,fixation,2.0,,721.246464285714,222.639535714286,,,,,1.0,2.5306175410142244,5.636446132094205
21,19960100,108,4.098537037037037,right,fixation,3.0,6.0,733.5936071428571,251.56057142857102,,,,,1.0,4.180698273680563,21.757161074000415
22,19960212,28,,left,saccade,4.0,,,,733.0369999999997,226.648,540.711,156.817,,,
23,19960212,40,,right,saccade,4.0,6.0,,,739.421,264.582,537.797,166.41099999999997,,,
24,19960244,1032,4.106412790697675,left,fixation,3.0,,478.812969111969,125.29734749034701,,,,,6.0,5.0467064305019385,29.804328763320925
25,19960256,1020,4.1064823529411765,right,fixation,4.0,7.0,489.05101953125,146.25654296875,,,,,6.0,5.387158722951073,19.214107458524165
26,19961280,20,,left,saccade,5.0,,,,498.57,121.155,411.546,124.649,,,
27,19961280,20,,right,saccade,5.0,7.0,,,511.772,146.719,425.454,148.781,,,
28,19961304,404,4.148210526315789,right,fixation,5.0,8.0,410.579833333333,136.151617647059,,,,,3.0,2.164873092863658,4.1533787419066615
30,19961712,16,,right,saccade,6.0,8.0,,,407.12699999999995,140.02200000000002,402.335,199.868,,,
31,19961716,16,,left,saccade,6.0,,,,389.603,124.56700000000001,387.176,194.157,,,
32,19961732,32,4.153499999999998,right,fixation,6.0,9.0,388.875444444444,211.369555555556,,,,,1.0,2.833505725147649,5.340178742326887
33,19961736,24,4.1531666666666665,left,fixation,4.0,,379.929142857143,202.74200000000002,,,,,1.0,3.027449981236501,5.398585833345599
34,19961764,104,,left,saccade,7.0,,,,376.546,210.952,876.513,148.81799999999996,,,
35,19961768,88,,right,saccade,7.0,9.0,,,380.287,217.445,922.056,132.377,,,
36,19962088,4,,right,fixation,7.0,10.0,923.5795,139.6755,,,,,0.0,,
37,19962096,8,,right,saccade,8.0,10.0,,,923.909,154.429,923.307,179.726,,,
38,19962108,536,4.1957879236347475,left,fixation,5.0,,937.3073925925928,227.54369629629602,,,,,4.0,5.014851104648952,22.395771978523825
39,19962108,536,4.1957879236347475,right,fixation,8.0,11.0,947.4535999999988,251.825866666667,,,,,2.0,3.809413914847928,13.616184200315823
40,19962648,40,,right,saccade,9.0,11.0,,,952.193,263.471,630.975,194.896,,,
41,19962648,44,,left,saccade,8.0,,,,958.9580000000001,258.19,622.016,178.17700000000005,,,
42,19962692,492,4.1465203252032525,right,fixation,9.0,12.0,551.939870967742,146.616258064516,,,,,5.0,4.0196075129248685,20.9762667026337
43,19962696,488,4.146852459016394,left,fixation,6.0,,532.6564471544709,126.21066666666701,,,,,4.0,3.9204969571722152,28.11330371305581
44,19963188,24,,left,saccade,9.0,,,,497.89,113.46,411.33,204.642,,,
45,19963188,24,,right,saccade,10.0,12.0,,,526.115,134.791,409.41,218.168,,,
46,19963216,384,4.163098958333333,left,fixation,7.0,,439.4324226804129,238.235597938144,,,,,3.0,5.476905318331839,28.04139990744925
47,19963216,384,4.163098958333333,right,fixation,10.0,13.0,442.89870103092795,248.91226804123696,,,,,2.0,5.433309160289823,27.220185756627444
48,19963604,16,,left,saccade,10.0,,,,462.98,242.601,464.121,161.615,,,
49,19963604,20,,right,saccade,11.0,13.0,,,470.286,252.033,480.72900000000004,180.02900000000002,,,
50,19963624,556,4.172294964028778,left,fixation,8.0,,453.719528571428,139.740885714286,,,,,7.0,2.543082010450477,9.23188423952378
51,19963628,548,4.172186131386861,right,fixation,11.0,14.0,464.20661594202903,148.48965942029,,,,,5.0,3.2794595554201464,13.611085741521304
52,19964180,16,,right,saccade,12.0,14.0,,,449.17699999999996,141.046,459.065,187.643,,,
