,starttime,duration,meanPupilDiameter,eye,eventType,eventIdxLeft,eventIdxRight,meanX,meanY,startSaccadeX,startSaccadeY,endSaccadeX,endSaccadeY,microsaccadeCount,microsaccadeAmplitude,microsaccadePeakVelocity
59,2093273,36,,right,saccade,,14.0,,,1427.225,283.82099999999997,1080.15,272.998,,,
60,2093309,164,3.2954268292682922,left,fixation,17.0,,1055.9065,258.988357142857,,,,,0.0,,
61,2093313,160,3.2951625,right,fixation,,15.0,1059.25751219512,270.488634146342,,,,,2.0,3.3314439302360563,5.576625207091662
62,2093477,24,,left,saccade,17.0,,,,1044.3239999999996,250.38,1187.812,248.73,,,
63,2093477,24,,right,saccade,,15.0,,,1053.333,258.78700000000003,1203.854,265.345,,,
64,2093505,172,3.3208488372093017,left,fixation,18.0,,1186.51981818182,240.278477272727,,,,,0.0,,
65,2093505,172,3.3208488372093017,right,fixation,,16.0,1201.79193181818,256.714409090909,,,,,0.0,,
66,2093681,56,,right,saccade,,16.0,,,1191.33,251.283,461.532,387.409,,,
67,2093681,60,,left,saccade,18.0,,,,1190.122,242.118,435.176,396.41900000000004,,,
68,2093741,220,3.3056,right,fixation,,17.0,433.34975,402.780303571429,,,,,2.0,4.609462997695603,10.999640684397018
69,2093745,224,3.3047589285714283,left,fixation,19.0,,413.398280701754,394.96328070175485,,,,,2.0,7.906970195585277,20.829837063103238
70,2093965,4,,right,saccade,,17.0,,,440.324,410.202,470.194,410.24300000000005,,,
71,2093973,0,,left,saccade,19.0,,,,450.345,387.245,450.345,387.245,,,
72,2093973,0,,right,fixation,,18.0,476.009,410.56199999999995,,,,,0.0,,
73,2093977,0,,right,saccade,,18.0,,,481.287,410.624,481.287,410.624,,,
74,2093977,248,3.270354838709677,left,fixation,20.0,,486.52969841269896,391.621222222222,,,,,2.0,2.803111960717954,5.299914225500162
75,2093981,240,3.2704166666666667,right,fixation,,19.0,500.247295081967,403.978327868853,,,,,0.0,,
76,2094225,16,,right,saccade,,19.0,,,504.96,397.15,505.099,453.88300000000004,,,
77,2094229,12,,left,saccade,20.0,,,,493.74699999999996,416.58,493.055,464.634,,,
78,2094245,284,3.215471830985915,left,fixation,21.0,,486.946263888889,486.878736111111,,,,,1.0,3.988123758249129,7.8356041885740755
79,2094245,284,3.215471830985915,right,fixation,,20.0,499.22706944444394,485.92611111111086,,,,,1.0,4.9433137109073355,22.177586816423478
80,2094533,20,,left,saccade,21.0,,,,473.923,483.369,468.13199999999995,397.379,,,
81,2094533,28,,right,saccade,,20.0,,,490.777,499.532,508.32800000000003,388.56800000000004,,,
82,2094557,716,3.250033519553073,left,fixation,22.0,,495.64318888888886,387.553644444444,,,,,5.0,4.827376472906911,16.540356356088836
83,2094565,704,3.2501960227272733,right,fixation,,21.0,525.119870056498,394.783875706215,,,,,5.0,6.5619742250174244,19.919127885334913
84,2095273,20,,right,saccade,,21.0,,,546.434,407.652,477.668,466.25800000000004,,,
85,2095277,20,,left,saccade,22.0,,,,515.238,396.089,476.06800000000004,477.066,,,
86,2095297,208,3.239576923076924,right,fixation,,22.0,474.66198113207605,489.1984528301889,,,,,0.0,,
87,2095301,204,3.2396470588235298,left,fixation,23.0,,470.323442307692,492.50030769230796,,,,,0.0,,
88,2095509,28,,right,saccade,,22.0,,,473.901,491.23400000000004,683.6289999999998,490.851,,,
89,2095509,32,,left,saccade,23.0,,,,460.87300000000016,484.284,662.921,491.17400000000004,,,
90,2095541,784,3.2089464285714286,right,fixation,,23.0,723.666543147209,493.180492385787,,,,,0.0,,
91,2095545,780,3.2087846153846162,left,fixation,24.0,,715.044857142857,503.492795918367,,,,,0.0,,
92,2096329,24,,left,saccade,24.0,,,,722.836,500.905,606.871,461.676,,,
93,2096329,24,,right,saccade,,23.0,,,721.832,478.404,621.05,449.019,,,
